smiles,gsk3,jnk3
Nc1ccc2ncnc(NCCc3ccc(Oc4ccccc4)cc3)c2c1,0.64,0.73
Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,0.62,0.78
NC1CCC(Nc2cc(Cl)nc(-c3c[nH]c4ncccc34)n2)CC1,0.55,1.0
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,0.64,0.74
Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,0.69,0.82
Nc1n[nH]c2nc3ccccc3nc12,0.72,0.7
N#Cc1ccc2c(-c3ccnc(NC4CC4)n3)c(-c3ccc(F)cc3)nn2c1,0.59,0.91
N#Cc1cc(-c2ccnc(Nc3ccc(-n4cnc(-c5ccccn5)n4)cc3)n2)cc(N2CCOCC2)c1,0.99,0.74
N#Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,0.57,0.98
N#Cc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,0.98,0.78
N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,0.68,0.67
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1,0.89,0.68
N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,0.81,0.83
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,0.56,0.89
NCCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,0.7,0.94
N#CC(C(=N)SC1C=CC=CC1)c1cccc(C(O)c2ccncc2)c1,0.65,0.66
NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,0.56,0.91
NCCNc1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,0.73,0.83
NC(=N[N+](=O)[O-])NN=Cc1ccc(-c2cccc([N+](=O)[O-])c2)o1,0.62,0.63
NC(=O)c1cc(-c2ccnc(Nc3ccccc3)n2)[nH]c1-c1ccccc1,0.55,0.93
NC(=O)c1ccc2[nH]c(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2c1,0.64,0.76
NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,0.76,0.9
NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCCO4)[nH]2)cc1,0.85,0.88
NC(=O)c1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl,0.99,0.79
NC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl,0.97,0.78
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,0.98,0.77
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2F)ncc1Cl,0.98,0.71
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)c(F)c2)ncc1Cl,0.96,0.81
NC(=O)c1ccc(NC2CCCCC2N)nc1Nc1cccc(Cl)c1,0.87,0.78
NC(=O)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.85,0.76
O=C1c2ccccc2-c2nc3nnnn3nc21,0.66,0.62
O=C1c2ccccc2-c2n[nH]c3cccc1c23,0.67,0.74
O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.65,0.56
O=c1c(-c2ccc(F)cc2)c(-c2ccnc(NC3CCCCC3)c2)oc2ccccc12,0.77,0.8
O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,0.62,0.64
Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0.77,0.98
O=C1C=CC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)=CC1,0.71,0.92
OC1CCC(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)CC1,0.92,0.87
Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,0.66,0.69
OC1CCC(Nc2cc(Cl)nc(-c3c[nH]c4ncccc34)n2)CC1,0.64,1.0
Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,0.67,0.75
OC1CCC(Nc2ncc3nc(Nc4ccccc4F)n(C4CCCC4)c3n2)CC1,1.0,0.53
OC1CCC(Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n(C4CCOC4)c3n2)CC1,0.87,0.62
OC1CCC(Nc2ncc3nnn(C45CC6CC(CC(O)(C6)C4)C5)c3n2)CC1,0.51,0.88
OC1CCC(Nc2nccc(-c3cn[nH]c3C3CCCOC3)n2)CC1,0.94,0.77
O=C1C(Cl)=C(n2c(O)ccc2O)C(=O)c2ccccc21,0.76,0.55
O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,0.77,0.68
O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,0.76,0.69
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,0.78,0.7
O=C1Nc2ccccc2C1=Cc1c(Cl)[nH]c2ccccc12,0.63,0.89
Oc1nc2ncc(-c3ccc(-c4ncn[nH]4)cc3)nc2n1CCC1CCOCC1,0.65,0.73
O=C1N=c2ncccc2=C1c1[nH]c2ncccc2c1O,0.64,0.8
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3cc(Br)ccc3c21,0.52,0.85
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,0.89,1.0
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,0.84,0.98
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCc1ccc(c(N3CCCC3)n1)CCCCn1cc2c2ccccc21,0.87,1.0
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCn1cc2c2ccccc21,0.5,1.0
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2ccccc21,0.5,1.0
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)C1=Nc1ccccc1,0.69,0.51
O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1,0.68,0.96
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,0.76,0.98
O=C1NC(=O)C(=Cc2ccc3nccnc3c2)S1,0.73,0.69
O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)S1,0.73,0.71
Oc1[nH]c2ccc(Br)cc2c1Cc1cc2c([nH]1)=CCCC=2,0.83,0.74
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,0.64,0.67
O=C(c1ccccc1)c1ccc(N2CCOCC2)cc1O,0.71,0.74
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,0.57,0.98
O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,0.66,0.62
OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,0.52,0.95
O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2cc(F)c(F)cc12,0.55,0.97
O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,0.56,0.68
O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1,0.73,0.68
O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1cccc([N+](=O)[O-])c1,0.64,0.76
O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,0.59,0.63
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,0.75,0.93
O=C(O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,0.52,0.97
O=C(O)C=Cc1cc(Br)c(Br)c(Br)c1Br,0.58,0.58
O=[N+]([O-])c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,0.51,0.99
O=[N+]([O-])C=Cc1ccc2c(c1)OCO2,0.63,0.62
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.72,0.68
O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,0.69,0.9
Sc1nnc(-c2ccncc2)n1-c1ccc2ccccc2c1,0.71,0.61
